,Open,High,Low,Close,Adj Close,Volume,MA,BOP,MFI,MOM,ROC,RSI,WCP,AP,MP,TP,OBV,Class
0,118.70999908447266,118.77999877929688,117.76000213623047,118.0999984741211,84.76325988769531,61244300.0,120.48533299763997,-0.5980417822922666,32.02215031897253,-4.69000244140625,-3.8195312374276424,38.22731236917749,118.18499946594238,118.33749961853027,118.27000045776367,118.21333312988281,1716045500.0,0.0
1,114.73999786376953,115.16999816894531,113.25,113.33999633789062,76.74552917480469,20195500.0,111.45300064086913,-0.7291681567842071,46.29941394448748,-1.2100067138671875,-1.0563131223317979,52.987692641637054,113.77499771118164,114.12499809265137,114.20999908447266,113.91999816894531,-313669000.0,0.0
2,114.37999725341797,114.91000366210938,114.0199966430664,114.47000122070312,91.80628204345703,179665800.0,110.47000020345052,0.10112725558270112,70.25995678497159,1.3899993896484375,1.2292176929083798,61.84403076087385,114.46750068664551,114.44499969482422,114.46500015258789,114.46666717529297,2307112200.0,0.0
3,125.19000244140625,127.0,124.38999938964844,126.69999694824219,92.1773910522461,73256700.0,126.2813336690267,0.5785418213494379,49.26721890250485,0.339996337890625,0.269069591839477,56.014466590159465,126.1974983215332,125.81999969482422,125.69499969482422,126.02999877929688,2314620800.0,0.0
4,243.3000030517578,244.1999969482422,243.3000030517578,244.00999450683594,224.69383239746094,59610400.0,242.98800150553384,0.7888847444983216,59.14546777119286,2.67999267578125,1.1105095327755388,56.90223223767572,243.87999725341797,243.70249938964844,243.75,243.83666483561197,7626559100.0,0.0
5,142.9375,144.125,142.0625,143.0,95.40219116210938,5265500.0,147.025,0.030303030303030304,30.17960517630699,-8.0,-5.298013245033117,39.60678551875452,143.046875,143.03125,143.09375,143.0625,-97430200.0,0.0
6,192.42999267578125,192.89999389648438,192.25,192.8000030517578,166.22744750976562,65047000.0,189.0259999593099,0.5692520775623269,70.04640130205534,4.05999755859375,2.1511059872999727,66.5763930554774,192.6875,192.59499740600586,192.5749969482422,192.6499989827474,9376872600.0,0.0
7,375.6300048828125,376.6700134277344,368.2699890136719,370.07000732421875,364.0708923339844,126765100.0,375.27166748046875,-0.6619025474837603,35.346317856623614,-8.389984130859375,-2.2168747873724026,42.878289244878964,371.27000427246094,372.6600036621094,372.4700012207031,371.6700032552083,9947254800.0,0.0
8,260.8299865722656,261.9700012207031,260.6000061035156,260.9800109863281,247.3585205078125,77636700.0,256.3593332926432,0.1095072618729395,78.90167867232839,10.800018310546875,4.31689928320651,55.40713973162973,261.13250732421875,261.0950012207031,261.2850036621094,261.18333943684894,8015318700.0,0.0
9,191.05999755859375,191.5800018310547,190.9499969482422,191.52000427246094,165.12387084960938,72010000.0,187.84500020345052,0.7301637279596978,65.50547916421252,1.730010986328125,0.9115396214382621,63.401410320657035,191.3925018310547,191.2775001525879,191.26499938964844,191.3500010172526,9303293600.0,0.0
10,238.77000427246094,238.8800048828125,237.6999969482422,238.47999572753906,218.53587341308594,73137700.0,235.679665629069,-0.24576830072543415,57.00036851155858,5.0399932861328125,2.159010123981586,60.619288687995585,238.3849983215332,238.45750045776367,238.29000091552734,238.35333251953125,7631287200.0,0.0
11,134.1699981689453,134.25,131.27999877929688,131.41000366210938,108.64334869384766,169756100.0,133.69800211588543,-0.9292906977938985,47.606729720516014,-0.69000244140625,-0.5223333910110095,44.69417713731868,132.0875015258789,132.7775001525879,132.76499938964844,132.3133341471354,3620559500.0,0.0
12,114.83000183105469,115.18000030517578,114.62000274658203,114.9000015258789,80.88294982910156,28420900.0,113.27900009155273,0.125,53.44862353369061,5.44000244140625,4.969854272708418,59.40948967479708,114.9000015258789,114.88250160217285,114.9000015258789,114.9000015258789,984383400.0,0.0
13,112.11000061035156,114.16000366210938,112.0199966430664,113.54000091552734,92.87073516845703,307242500.0,118.10600001017252,0.6682222499509796,46.29646045661327,-2.3799972534179688,-2.05313775967223,38.84279968402059,113.31500053405762,112.95750045776367,113.09000015258789,113.24000040690105,2488672500.0,0.0
14,132.46875,134.96875,130.015625,130.015625,87.2243423461914,9616600.0,135.63489583333333,-0.4952681388012618,41.16891818206765,-7.703125,-5.593374177444977,39.39590527621531,131.25390625,131.8671875,132.4921875,131.66666666666666,-150696700.0,0.0
15,195.52999877929688,196.5,194.47999572753906,194.6999969482422,168.66995239257812,96237000.0,192.62166697184244,-0.4108911265041584,57.667447483793374,-0.9000091552734375,-0.4601273656387961,57.93585521007499,195.09499740600586,195.30249786376953,195.48999786376953,195.2266642252604,9728362600.0,0.0
16,111.83000183105469,112.75,111.02999877929688,111.1500015258789,75.52151489257812,23755400.0,111.35166651407877,-0.3953487340536896,67.06125235847425,-1.1199951171875,-0.9975907639404591,49.2166478815484,111.52000045776367,111.69000053405762,111.88999938964844,111.6433334350586,-376875300.0,0.0
17,378.8900146484375,379.8599853515625,376.3599853515625,378.7699890136719,372.6298522949219,52547700.0,370.3016662597656,-0.03429303850446429,69.95007185075129,6.5999755859375,1.7733765074598118,64.55531485119322,378.4399871826172,378.4699935913086,378.1099853515625,378.3299865722656,10079232700.0,0.0
18,113.5199966430664,113.72000122070312,113.08999633789062,113.4800033569336,79.60426330566406,30984400.0,112.36900100708007,-0.06348091455144352,53.58134098327677,-0.29999542236328125,-0.26366270485306265,55.72891633901278,113.44250106811523,113.45249938964844,113.40499877929688,113.43000030517578,767120400.0,0.0
